Server,Packet Size,Minimum RTT (ms),Average RTT (ms),Maximum RTT (ms),Mdev RTT (ms)
52.253.119.179,32,N/A,N/A,N/A,N/A
34.155.23.105,32, 164.488,165.136,166.604,0.565 ms
20.164.37.45,32,N/A,N/A,N/A,N/A
34.84.32.225,32,N/A,N/A,N/A,N/A
20.206.136.251,32,N/A,N/A,N/A,N/A
34.94.237.104,32, 126.472,126.938,127.616,0.325 ms
20.115.21.116,32, 89.471,89.856,90.331,0.244 ms
34.175.240.213,32, 163.055,163.662,164.131,0.377 ms
4.231.225.177,32,N/A,N/A,N/A,N/A
34.176.209.21,32, 188.040,188.748,189.253,0.393 ms
35.234.37.87,32, 256.886,257.700,258.846,0.559 ms
52.253.119.179,64,N/A,N/A,N/A,N/A
34.155.23.105,64, 164.637,164.884,165.010,0.110 ms
20.164.37.45,64,N/A,N/A,N/A,N/A
34.84.32.225,64,N/A,N/A,N/A,N/A
20.206.136.251,64,N/A,N/A,N/A,N/A
34.94.237.104,64, 118.769,119.557,120.932,0.646 ms
20.115.21.116,64, 89.171,89.660,89.972,0.253 ms
34.175.240.213,64, 162.990,163.634,164.070,0.383 ms
4.231.225.177,64,N/A,N/A,N/A,N/A
34.176.209.21,64, 188.635,189.299,190.766,0.593 ms
35.234.37.87,64, 256.099,258.565,266.681,3.106 ms
52.253.119.179,128,N/A,N/A,N/A,N/A
34.155.23.105,128, 164.773,165.179,165.812,0.318 ms
20.164.37.45,128,N/A,N/A,N/A,N/A
34.84.32.225,128,N/A,N/A,N/A,N/A
20.206.136.251,128,N/A,N/A,N/A,N/A
34.94.237.104,128, 125.948,127.083,130.747,1.343 ms
20.115.21.116,128, 89.564,89.779,90.184,0.181 ms
34.175.240.213,128, 163.120,163.687,164.379,0.429 ms
4.231.225.177,128,N/A,N/A,N/A,N/A
34.176.209.21,128, 156.138,156.779,157.473,0.385 ms
35.234.37.87,128, 257.905,258.384,259.001,0.329 ms
52.253.119.179,256,N/A,N/A,N/A,N/A
34.155.23.105,256, 165.113,165.693,165.980,0.297 ms
20.164.37.45,256,N/A,N/A,N/A,N/A
34.84.32.225,256,N/A,N/A,N/A,N/A
20.206.136.251,256,N/A,N/A,N/A,N/A
34.94.237.104,256, 118.932,119.473,120.133,0.420 ms
20.115.21.116,256, 89.290,89.891,90.754,0.356 ms
34.175.240.213,256, 171.774,177.322,210.453,11.444 ms
4.231.225.177,256,N/A,N/A,N/A,N/A
34.176.209.21,256, 187.912,188.373,189.271,0.460 ms
35.234.37.87,256, 263.427,264.033,264.811,0.396 ms
52.253.119.179,512,N/A,N/A,N/A,N/A
34.155.23.105,512, 164.780,165.180,165.813,0.353 ms
20.164.37.45,512,N/A,N/A,N/A,N/A
34.84.32.225,512,N/A,N/A,N/A,N/A
20.206.136.251,512,N/A,N/A,N/A,N/A
34.94.237.104,512, 133.458,133.728,134.081,0.190 ms
20.115.21.116,512, 89.472,89.827,90.363,0.275 ms
34.175.240.213,512, 170.347,170.871,171.294,0.297 ms
4.231.225.177,512,N/A,N/A,N/A,N/A
34.176.209.21,512, 192.542,192.962,193.620,0.328 ms
35.234.37.87,512, 257.113,263.052,265.398,2.435 ms
52.253.119.179,1024,N/A,N/A,N/A,N/A
34.155.23.105,1024, 171.513,173.152,181.794,3.024 ms
20.164.37.45,1024,N/A,N/A,N/A,N/A
34.84.32.225,1024,N/A,N/A,N/A,N/A
20.206.136.251,1024,N/A,N/A,N/A,N/A
34.94.237.104,1024, 130.586,131.812,136.244,1.573 ms
20.115.21.116,1024, 89.628,90.616,94.853,1.439 ms
34.175.240.213,1024, 171.800,172.032,172.719,0.292 ms
4.231.225.177,1024,N/A,N/A,N/A,N/A
34.176.209.21,1024, 189.602,190.115,190.870,0.316 ms
35.234.37.87,1024, 256.571,257.293,258.934,0.708 ms
35.234.37.87,32, 249.743,251.872,258.283,3.010 ms
35.234.37.87,32, 256.692,257.016,257.430,0.228 ms
35.234.37.87,64, 255.664,256.114,256.673,0.271 ms
52.253.119.179,32,N/A,N/A,N/A,N/A
34.155.23.105,32, 170.776,171.214,172.248,0.422 ms
20.164.37.45,32,N/A,N/A,N/A,N/A
34.84.32.225,32,N/A,N/A,N/A,N/A
20.206.136.251,32,N/A,N/A,N/A,N/A
34.94.237.104,32, 129.514,129.989,130.782,0.356 ms
20.115.21.116,32, 89.418,89.765,90.040,0.210 ms
34.175.240.213,32, 170.545,171.123,171.866,0.392 ms
4.231.225.177,32,N/A,N/A,N/A,N/A
34.176.209.21,32, 161.832,162.154,163.934,0.601 ms
35.234.37.87,32, 256.502,257.149,257.880,0.367 ms
52.253.119.179,64,N/A,N/A,N/A,N/A
34.155.23.105,64, 164.096,165.165,169.669,1.555 ms
20.164.37.45,64,N/A,N/A,N/A,N/A
34.84.32.225,64,N/A,N/A,N/A,N/A
20.206.136.251,64,N/A,N/A,N/A,N/A
34.94.237.104,64, 128.130,130.331,138.691,3.004 ms
20.115.21.116,64, 89.551,89.863,90.400,0.276 ms
34.175.240.213,64, 177.721,178.737,183.525,1.628 ms
