Timestamp,Target,PacketSize,Hop,Host,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,64,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,64,1.|--,192.168.0.1,0.0%,10,1.3,1.1,0.7,1.3,0.2
2023-05-03 21:14:32.044651,52.253.119.179,64,2.|--,10.248.0.2,0.0%,10,1.8,2.0,1.6,2.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,3.|--,45.71.39.254,0.0%,10,2.4,2.3,1.4,2.7,0.4
2023-05-03 21:14:32.044651,52.253.119.179,64,4.|--,172.16.201.180,0.0%,10,3.6,3.6,3.2,3.9,0.2
2023-05-03 21:14:32.044651,52.253.119.179,64,5.|--,172.18.9.4,0.0%,10,4.2,3.9,3.5,4.5,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,6.|--,172.18.9.6,0.0%,10,3.8,4.0,3.6,4.4,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,7.|--,67.73.160.1,0.0%,10,17.1,10.8,2.9,26.7,8.2
2023-05-03 21:14:32.044651,52.253.119.179,64,8.|--,4.69.219.142,10.0%,10,76.0,75.6,73.0,87.3,4.5
2023-05-03 21:14:32.044651,52.253.119.179,64,9.|--,4.68.62.2,0.0%,10,63.7,64.0,62.7,70.5,2.5
2023-05-03 21:14:32.044651,52.253.119.179,64,10.|--,104.44.230.39,0.0%,10,74.8,68.4,62.7,81.0,6.7
2023-05-03 21:14:32.044651,52.253.119.179,64,11.|--,104.44.33.169,0.0%,10,215.2,214.8,214.3,215.3,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,12.|--,104.44.28.74,0.0%,10,215.5,215.2,214.5,216.8,0.7
2023-05-03 21:14:32.044651,52.253.119.179,64,13.|--,104.44.17.73,0.0%,10,213.7,213.6,212.6,215.9,0.9
2023-05-03 21:14:32.044651,52.253.119.179,64,14.|--,104.44.18.172,0.0%,10,214.0,214.1,213.9,214.5,0.2
2023-05-03 21:14:32.044651,52.253.119.179,64,15.|--,104.44.16.86,0.0%,10,214.6,214.8,214.3,215.2,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,16.|--,104.44.7.21,0.0%,10,213.2,213.2,212.6,213.7,0.3
2023-05-03 21:14:32.044651,52.253.119.179,64,17.|--,104.44.20.28,0.0%,10,223.6,214.2,212.4,223.6,3.5
2023-05-03 21:14:32.044651,52.253.119.179,64,18.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,52.253.119.179,128,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,128,1.|--,192.168.0.1,0.0%,10,1.3,1.1,0.6,1.3,0.2
2023-05-03 21:14:32.044651,52.253.119.179,128,2.|--,10.248.0.2,0.0%,10,1.9,2.2,1.5,3.9,0.7
2023-05-03 21:14:32.044651,52.253.119.179,128,3.|--,45.71.39.254,0.0%,10,2.5,2.2,1.7,2.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,128,4.|--,172.16.201.180,0.0%,10,3.3,3.4,3.1,4.0,0.3
2023-05-03 21:14:32.044651,52.253.119.179,128,5.|--,172.18.9.4,0.0%,10,4.8,4.4,3.7,7.8,1.2
2023-05-03 21:14:32.044651,52.253.119.179,128,6.|--,172.18.9.6,0.0%,10,4.1,4.3,3.3,6.9,1.1
2023-05-03 21:14:32.044651,52.253.119.179,128,7.|--,67.73.160.1,0.0%,10,3.3,3.6,3.1,4.2,0.4
2023-05-03 21:14:32.044651,52.253.119.179,128,8.|--,4.69.219.142,0.0%,10,74.2,79.0,73.0,92.4,5.7
2023-05-03 21:14:32.044651,52.253.119.179,128,9.|--,4.68.62.2,0.0%,10,62.9,66.1,62.9,73.9,4.3
2023-05-03 21:14:32.044651,52.253.119.179,128,10.|--,104.44.230.39,0.0%,10,63.1,65.6,62.5,74.2,3.9
2023-05-03 21:14:32.044651,52.253.119.179,128,11.|--,104.44.33.169,0.0%,10,221.7,215.8,214.4,221.7,2.4
2023-05-03 21:14:32.044651,52.253.119.179,128,12.|--,104.44.28.74,0.0%,10,216.8,222.8,214.3,291.4,24.1
2023-05-03 21:14:32.044651,52.253.119.179,128,13.|--,104.44.17.73,0.0%,10,213.1,215.4,212.8,234.2,6.6
2023-05-03 21:14:32.044651,52.253.119.179,128,14.|--,104.44.18.172,0.0%,10,214.7,214.3,213.7,214.8,0.4
2023-05-03 21:14:32.044651,52.253.119.179,128,15.|--,104.44.16.86,0.0%,10,214.5,214.7,214.2,215.1,0.3
2023-05-03 21:14:32.044651,52.253.119.179,128,16.|--,104.44.7.21,0.0%,10,213.6,213.3,212.8,214.0,0.4
2023-05-03 21:14:32.044651,52.253.119.179,128,17.|--,104.44.20.28,0.0%,10,212.8,213.6,212.6,216.0,1.2
2023-05-03 21:14:32.044651,52.253.119.179,128,18.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,52.253.119.179,256,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,256,1.|--,192.168.0.1,0.0%,10,1.1,1.2,0.9,1.3,0.1
2023-05-03 21:14:32.044651,52.253.119.179,256,2.|--,10.248.0.2,0.0%,10,2.0,1.9,1.6,2.2,0.2
